<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.16	1.18400	1.18688	1.18141	1.18516	57741	0	0
2020.11.17	1.18509	1.18939	1.18428	1.18605	43717	0	0
2020.11.18	1.18618	1.18910	1.18491	1.18526	49423	0	0
2020.11.19	1.18526	1.18825	1.18163	1.18745	53540	0	1
2020.11.20	1.18745	1.18909	1.18497	1.18587	44971	0	0
2020.11.23	1.18496	1.19061	1.18000	1.18399	49370	0	0
2020.11.24	1.18399	1.18959	1.18358	1.18904	49664	0	0
2020.11.25	1.18905	1.19298	1.18819	1.19157	56219	0	0
2020.11.26	1.19164	1.19409	1.18853	1.19127	34494	0	0
2020.11.27	1.19125	1.19630	1.19067	1.19593	38264	0	0
2020.11.30	1.19600	1.20034	1.19236	1.19256	57731	0	0
2020.12.01	1.19261	1.20766	1.19253	1.20692	58891	0	0
2020.12.02	1.20691	1.21184	1.20400	1.21136	69133	0	0
2020.12.03	1.21137	1.21746	1.21011	1.21469	74096	0	0
2020.12.04	1.21447	1.21773	1.21100	1.21201	76974	0	0
2020.12.07	1.21299	1.21664	1.20787	1.21091	77841	0	0
2020.12.08	1.21091	1.21340	1.20956	1.21022	71978	0	0
2020.12.09	1.21022	1.21474	1.20585	1.20802	72315	0	0
2020.12.10	1.20789	1.21588	1.20738	1.21398	85474	0	0
2020.12.11	1.21361	1.21628	1.21054	1.21125	71031	0	0
2020.12.14	1.21366	1.21766	1.21156	1.21432	65850	0	0
2020.12.15	1.21432	1.21687	1.21214	1.21505	65615	0	0
2020.12.16	1.21489	1.22124	1.21249	1.21984	76468	0	0
2020.12.17	1.21985	1.22729	1.21897	1.22684	65915	0	0
2020.12.18	1.22676	1.22719	1.22256	1.22542	58548	0	0
2020.12.21	1.22166	1.22528	1.21296	1.22424	103141	0	0
2020.12.22	1.22434	1.22573	1.21520	1.21616	79150	0	0
2020.12.23	1.21618	1.22212	1.21540	1.21860	79543	0	0
2020.12.24	1.21857	1.22157	1.21774	1.21808	47758	0	0
2020.12.28	1.21696	1.22506	1.21696	1.22160	65208	0	0
2020.12.29	1.22160	1.22749	1.22070	1.22482	56037	0	0
2020.12.30	1.22471	1.23099	1.22470	1.22961	66896	0	0
2020.12.31	1.22963	1.23093	1.22127	1.22155	58559	0	0
2021.01.04	1.22395	1.23098	1.22280	1.22473	85620	0	0
2021.01.05	1.22466	1.23056	1.22432	1.22965	75380	0	0
2021.01.06	1.22968	1.23494	1.22657	1.23252	118259	0	0
2021.01.07	1.23256	1.23441	1.22452	1.22710	84749	0	0
2021.01.08	1.22713	1.22845	1.21932	1.22218	100138	0	0
2021.01.11	1.22116	1.22285	1.21323	1.21497	79581	0	0
2021.01.12	1.21498	1.22097	1.21372	1.22062	70628	0	0
2021.01.13	1.22064	1.22229	1.21399	1.21568	70247	0	0
2021.01.14	1.21568	1.21784	1.21112	1.21540	82002	0	0
2021.01.15	1.21537	1.21625	1.20750	1.20766	71372	0	0
2021.01.18	1.20813	1.20867	1.20536	1.20757	51965	0	0
2021.01.19	1.20768	1.21449	1.20739	1.21284	59302	0	0
2021.01.20	1.21281	1.21582	1.20767	1.21046	63393	0	0
2021.01.21	1.21043	1.21732	1.21022	1.21640	65018	0	0
2021.01.22	1.21586	1.21894	1.21515	1.21704	57094	0	0
