<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.23	18:00:00	1.35212	1.35506	1.34796	1.35086	7642	0	0
2020.12.23	19:00:00	1.35086	1.35202	1.34649	1.34831	5488	0	0
2020.12.23	20:00:00	1.34830	1.35164	1.34805	1.35088	4536	0	0
2020.12.23	21:00:00	1.35088	1.35110	1.34804	1.34815	2911	0	0
2020.12.23	22:00:00	1.34815	1.35090	1.34708	1.35063	3519	0	0
2020.12.23	23:00:00	1.35063	1.35166	1.34888	1.34904	2415	0	0
2020.12.24	00:00:00	1.34908	1.35172	1.34876	1.34990	834	0	15
2020.12.24	01:00:00	1.35016	1.35132	1.34959	1.35122	973	0	0
2020.12.24	02:00:00	1.35122	1.35330	1.35024	1.35295	2501	0	0
2020.12.24	03:00:00	1.35294	1.35495	1.35240	1.35328	4361	0	0
2020.12.24	04:00:00	1.35329	1.35620	1.35328	1.35551	4482	0	0
2020.12.24	05:00:00	1.35550	1.35629	1.35425	1.35516	4497	0	0
2020.12.24	06:00:00	1.35517	1.35536	1.35410	1.35495	3483	0	0
2020.12.24	07:00:00	1.35494	1.35586	1.35468	1.35566	1820	0	0
2020.12.24	08:00:00	1.35565	1.35623	1.35418	1.35589	1669	0	0
2020.12.24	09:00:00	1.35574	1.35812	1.35493	1.35658	3865	0	0
2020.12.24	10:00:00	1.35658	1.36050	1.35578	1.35946	4405	0	0
2020.12.24	11:00:00	1.35948	1.36066	1.35788	1.35982	4250	0	0
2020.12.24	12:00:00	1.35976	1.36193	1.35931	1.36066	3776	0	0
2020.12.24	13:00:00	1.36069	1.36167	1.35843	1.35877	3236	0	0
2020.12.24	14:00:00	1.35877	1.35937	1.35529	1.35809	3192	0	0
2020.12.24	15:00:00	1.35809	1.35949	1.35653	1.35901	2535	0	0
2020.12.24	16:00:00	1.35899	1.36147	1.35802	1.35826	4952	0	0
2020.12.24	17:00:00	1.35826	1.35832	1.35220	1.35365	5602	0	0
2020.12.24	18:00:00	1.35365	1.35549	1.35355	1.35477	4122	0	0
2020.12.24	19:00:00	1.35478	1.35484	1.35369	1.35377	2689	0	0
2020.12.24	20:00:00	1.35377	1.35403	1.35259	1.35336	1936	0	0
2020.12.28	00:00:00	1.35441	1.35520	1.35419	1.35466	328	0	10
2020.12.28	01:00:00	1.35499	1.35728	1.35452	1.35697	2043	0	0
2020.12.28	02:00:00	1.35697	1.35756	1.35295	1.35332	3161	0	0
2020.12.28	03:00:00	1.35334	1.35527	1.35334	1.35462	2742	0	0
2020.12.28	04:00:00	1.35461	1.35639	1.35460	1.35579	1994	0	0
2020.12.28	05:00:00	1.35580	1.35710	1.35574	1.35657	1541	0	0
2020.12.28	06:00:00	1.35657	1.35658	1.35526	1.35629	1154	0	0
2020.12.28	07:00:00	1.35629	1.35735	1.35599	1.35733	1305	0	0
2020.12.28	08:00:00	1.35733	1.35762	1.35599	1.35671	1906	0	0
2020.12.28	09:00:00	1.35669	1.35742	1.35587	1.35648	2392	0	0
2020.12.28	10:00:00	1.35648	1.35728	1.35481	1.35530	4228	0	0
2020.12.28	11:00:00	1.35530	1.35608	1.35440	1.35531	3938	0	0
2020.12.28	12:00:00	1.35531	1.35536	1.34857	1.34974	5707	0	0
2020.12.28	13:00:00	1.34973	1.34994	1.34737	1.34929	4892	0	0
2020.12.28	14:00:00	1.34929	1.35102	1.34820	1.35098	3839	0	0
2020.12.28	15:00:00	1.35098	1.35254	1.34946	1.35112	4722	0	0
2020.12.28	16:00:00	1.35112	1.35354	1.35012	1.35179	4524	0	0
2020.12.28	17:00:00	1.35179	1.35182	1.34293	1.34506	5309	0	0
2020.12.28	18:00:00	1.34506	1.34644	1.34375	1.34460	4631	0	0
2020.12.28	19:00:00	1.34460	1.34554	1.34315	1.34518	4472	0	0
2020.12.28	20:00:00	1.34519	1.34619	1.34444	1.34565	3000	0	0
2020.12.28	21:00:00	1.34566	1.34594	1.34436	1.34454	2865	0	0
2020.12.28	22:00:00	1.34454	1.34546	1.34361	1.34390	2633	0	0
2020.12.28	23:00:00	1.34391	1.34591	1.34380	1.34511	1545	0	0
2020.12.29	00:00:00	1.34507	1.34540	1.34392	1.34481	1375	0	5
2020.12.29	01:00:00	1.34482	1.34673	1.34455	1.34643	1232	0	0
2020.12.29	02:00:00	1.34643	1.34796	1.34595	1.34686	3350	0	0
2020.12.29	03:00:00	1.34686	1.34848	1.34670	1.34790	3018	0	0
2020.12.29	04:00:00	1.34791	1.34874	1.34681	1.34830	4191	0	0
2020.12.29	05:00:00	1.34830	1.34947	1.34810	1.34931	4649	0	0
2020.12.29	06:00:00	1.34931	1.34947	1.34886	1.34899	2419	0	1
2020.12.29	07:00:00	1.34899	1.34905	1.34779	1.34861	3432	0	0
2020.12.29	08:00:00	1.34861	1.34880	1.34677	1.34785	2058	0	0
2020.12.29	09:00:00	1.34785	1.35095	1.34774	1.35066	3207	0	0
2020.12.29	10:00:00	1.35066	1.35225	1.35004	1.35059	4077	0	0
2020.12.29	11:00:00	1.35060	1.35135	1.34689	1.34720	3846	0	0
2020.12.29	12:00:00	1.34725	1.34957	1.34725	1.34865	3967	0	0
2020.12.29	13:00:00	1.34865	1.35128	1.34807	1.35023	4561	0	0
2020.12.29	14:00:00	1.35023	1.35103	1.34825	1.34885	4559	0	0
2020.12.29	15:00:00	1.34884	1.35033	1.34837	1.35028	3682	0	0
2020.12.29	16:00:00	1.35028	1.35144	1.34922	1.35014	5070	0	0
2020.12.29	17:00:00	1.35011	1.35082	1.34734	1.34938	7181	0	0
2020.12.29	18:00:00	1.34938	1.35220	1.34877	1.35104	4606	0	0
2020.12.29	19:00:00	1.35113	1.35172	1.34797	1.34893	3970	0	0
2020.12.29	20:00:00	1.34893	1.34917	1.34805	1.34907	3898	0	0
2020.12.29	21:00:00	1.34906	1.34995	1.34819	1.34974	3245	0	0
2020.12.29	22:00:00	1.34974	1.35077	1.34938	1.34968	3658	0	0
2020.12.29	23:00:00	1.34968	1.35105	1.34955	1.35003	1812	0	0
2020.12.30	00:00:00	1.35003	1.35020	1.34902	1.34985	373	0	16
2020.12.30	01:00:00	1.34994	1.35077	1.34960	1.34970	2381	0	0
2020.12.30	02:00:00	1.34970	1.35160	1.34933	1.35101	3723	0	0
2020.12.30	03:00:00	1.35102	1.35409	1.35084	1.35387	6104	0	0
2020.12.30	04:00:00	1.35388	1.35448	1.35278	1.35440	4302	0	0
2020.12.30	05:00:00	1.35440	1.35450	1.35372	1.35372	2018	0	0
2020.12.30	06:00:00	1.35372	1.35449	1.35370	1.35419	2258	0	0
2020.12.30	07:00:00	1.35419	1.35569	1.35406	1.35444	3346	0	0
2020.12.30	08:00:00	1.35444	1.35452	1.35277	1.35392	3968	0	0
2020.12.30	09:00:00	1.35391	1.35524	1.35284	1.35319	3322	0	0
2020.12.30	10:00:00	1.35324	1.35550	1.35302	1.35522	4730	0	0
2020.12.30	11:00:00	1.35522	1.35797	1.35496	1.35772	4018	0	0
2020.12.30	12:00:00	1.35771	1.36102	1.35717	1.36063	3705	0	0
2020.12.30	13:00:00	1.36063	1.36151	1.35908	1.36097	3931	0	0
2020.12.30	14:00:00	1.36097	1.36113	1.35889	1.35950	3786	0	0
2020.12.30	15:00:00	1.35950	1.36066	1.35840	1.36007	3994	0	0
2020.12.30	16:00:00	1.36003	1.36148	1.35722	1.36037	6875	0	0
2020.12.30	17:00:00	1.36037	1.36185	1.35845	1.36070	7796	0	0
2020.12.30	18:00:00	1.36072	1.36087	1.35913	1.36027	4308	0	0
2020.12.30	19:00:00	1.36027	1.36084	1.35963	1.35982	2669	0	0
2020.12.30	20:00:00	1.35988	1.36161	1.35988	1.36134	2806	0	0
2020.12.30	21:00:00	1.36134	1.36178	1.36063	1.36118	2404	0	0
2020.12.30	22:00:00	1.36119	1.36248	1.36105	1.36176	2078	0	0
2020.12.30	23:00:00	1.36177	1.36253	1.36121	1.36237	1302	0	0
2020.12.31	00:00:00	1.36234	1.36234	1.36057	1.36132	466	0	18
2020.12.31	01:00:00	1.36149	1.36305	1.36142	1.36287	1745	0	0
2020.12.31	02:00:00	1.36287	1.36467	1.36253	1.36444	3937	0	0
2020.12.31	03:00:00	1.36442	1.36489	1.36388	1.36440	4026	0	0
2020.12.31	04:00:00	1.36440	1.36497	1.36040	1.36156	4261	0	0
2020.12.31	05:00:00	1.36154	1.36246	1.36108	1.36187	4676	0	0
2020.12.31	06:00:00	1.36187	1.36201	1.36123	1.36146	2455	0	0
2020.12.31	07:00:00	1.36146	1.36281	1.36142	1.36250	2883	0	0
2020.12.31	08:00:00	1.36250	1.36370	1.36248	1.36276	4038	0	0
2020.12.31	09:00:00	1.36273	1.36562	1.36258	1.36543	4849	0	0
2020.12.31	10:00:00	1.36541	1.36701	1.36438	1.36674	5325	0	0
2020.12.31	11:00:00	1.36674	1.36680	1.36523	1.36588	4154	0	0
2020.12.31	12:00:00	1.36589	1.36863	1.36511	1.36740	4749	0	0
